config,model_structure.sequence_length,model_structure.hidden_size,model_structure.num_layers,hyperparameters.learning_rate,data.batch_size,train_loss,val_loss
config_LSTM_norm_fix_noOver40_L_1_ID_12.yaml,250,160,1,0.01,4000,4.672366619110107,3.1625561714172363
config_LSTM_norm_fix_noOver40_L_1_ID_13.yaml,250,224,1,0.01,4000,4.561339855194092,1.1503351926803589
config_LSTM_norm_fix_L_1_ID_0.yaml,50,32,1,0.01,3500,0.028066616505384445,0.06079164519906044
config_LSTM_norm_fix_L_1_ID_1.yaml,50,32,1,0.01,4000,0.031802114099264145,0.0686432272195816
config_LSTM_norm_fix_L_1_ID_2.yaml,50,32,1,0.008,3500,0.028835337609052658,0.06069035455584526
config_LSTM_norm_fix_L_1_ID_3.yaml,50,32,1,0.008,4000,0.029332058504223824,0.06211564689874649
config_LSTM_norm_fix_L_1_ID_4.yaml,50,32,1,0.006,3500,0.028863558545708656,0.063378244638443
config_LSTM_norm_fix_L_1_ID_5.yaml,50,32,1,0.006,4000,0.03165585920214653,0.06623955070972443
config_LSTM_norm_fix_L_2_ID_6.yaml,50,32,2,0.01,3500,0.028054971247911453,0.06041433662176132
config_LSTM_norm_fix_L_2_ID_7.yaml,50,32,2,0.01,4000,0.030432041734457016,0.06465167552232742
config_LSTM_norm_fix_L_2_ID_8.yaml,50,32,2,0.008,3500,0.028959261253476143,0.06145492196083069
config_LSTM_norm_fix_L_2_ID_9.yaml,50,32,2,0.008,4000,0.02808595448732376,0.062215641140937805
config_LSTM_norm_fix_L_2_ID_10.yaml,50,32,2,0.006,3500,0.030191030353307724,0.06395939737558365
config_LSTM_norm_fix_L_2_ID_11.yaml,50,32,2,0.006,4000,0.029064180329442024,0.06169668585062027
config_LSTM_norm_fix_L_1_ID_12.yaml,50,96,1,0.01,3500,0.029370678588747978,0.062117353081703186
config_LSTM_norm_fix_L_1_ID_13.yaml,50,96,1,0.01,4000,0.02883676439523697,0.06243444234132767
config_LSTM_norm_fix_L_1_ID_14.yaml,50,96,1,0.008,3500,0.028483591973781586,0.060655221343040466
config_LSTM_L_1_ID_0.yaml,50,32,1,0.01,3750,0.050711359828710556,0.11211881041526794
config_LSTM_L_1_ID_1.yaml,50,32,1,0.008,3750,0.05016392841935158,0.11205920577049255
config_LSTM_L_1_ID_2.yaml,50,155,1,0.01,3750,0.05004342272877693,0.11327289789915085
config_LSTM_L_1_ID_3.yaml,50,155,1,0.008,3750,0.05118037760257721,0.11202476173639297
config_LSTM_L_1_ID_4.yaml,50,278,1,0.01,3750,0.050091203302145004,0.11151864379644394
config_LSTM_L_1_ID_5.yaml,50,278,1,0.008,3750,0.05045444890856743,0.11198824644088745
config_LSTM_L_1_ID_6.yaml,200,32,1,0.01,3750,0.03797130659222603,0.08309116214513779
config_LSTM_L_1_ID_7.yaml,200,32,1,0.008,3750,0.04031755030155182,0.08695133030414581
config_LSTM_L_1_ID_8.yaml,200,155,1,0.01,3750,0.03840547800064087,0.08031518012285233
config_LSTM_L_1_ID_9.yaml,200,155,1,0.008,3750,0.7952272891998291,0.6766425967216492
config_LSTM_L_1_ID_10.yaml,200,278,1,0.01,3750,32.73539733886719,119.3981704711914
config_LSTM_L_1_ID_11.yaml,200,278,1,0.008,3750,6.143503665924072,2.485023260116577
